2025-07-26 17:48:03,632 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Projects\activemq\apache-activemq-5.19.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2025-07-26 17:48:03,637 | INFO  | Starting Persistence Adapter: KahaDBPersistenceAdapter[C:\Projects\activemq\apache-activemq-5.19.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2025-07-26 17:48:03,655 | INFO  | Starting KahaDBStore | org.apache.activemq.store.kahadb.KahaDBStore | main
2025-07-26 17:48:03,655 | INFO  | Opening MessageDatabase | org.apache.activemq.store.kahadb.MessageDatabase | main
2025-07-26 17:48:03,836 | INFO  | Starting Temp Data Store | org.apache.activemq.broker.BrokerService | main
2025-07-26 17:48:03,836 | INFO  | PListStore:[C:\Projects\activemq\apache-activemq-5.19.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2025-07-26 17:48:03,836 | INFO  | Starting Job Scheduler Store | org.apache.activemq.broker.BrokerService | main
2025-07-26 17:48:03,836 | INFO  | Persistence Adapter successfully started | org.apache.activemq.broker.BrokerService | main
2025-07-26 17:48:03,973 | INFO  | Apache ActiveMQ 5.19.0 (localhost, ID:DESKTOP-JU8IKAM-50251-1753541283845-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2025-07-26 17:48:03,990 | INFO  | Listening for connections at: tcp://DESKTOP-JU8IKAM:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-07-26 17:48:03,991 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2025-07-26 17:48:03,994 | INFO  | Listening for connections at: amqp://DESKTOP-JU8IKAM:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2025-07-26 17:48:03,994 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
